stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
yes,yes,yes,yes,5,439,473,4,553,526,19,608,611,633,616,22,64,64,64,64,912,1079,1219,1249,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,14,439,547,39,530,557,8,608,632,626,620,first year teacher,1,1,1,1,986,1087,1240,1246,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
no,yes,yes,yes,,,,4,509,520,28,596,536,616,604,,,24,24,24,,1029,1132,1220,,0,0,0,,1,1,1,0,1,0,0,,0,0,1
yes,yes,yes,yes,8,460,484,9,558,567,9,622,540,573,593,6,58,58,58,58,944,1125,1162,1166,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,no,no,no,3,400,384,,,,,,,,,,15,,,,784,,,,0,,,,1,,,,0,1,0,1,1,,,
no,no,yes,no,,,,,,,14,599,632,,,,,,22,,,,1231,,,,1,,,,0,,0,1,0,1,,,1,
yes,yes,yes,yes,3,402,459,1,460,493,8,533,565,562,580,18,45,45,45,45,861,953,1098,1142,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
yes,yes,yes,yes,7,419,434,8,483,486,3,521,515,,,1,63,63,63,63,853,969,1036,,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
yes,yes,no,no,18,,,9,475,493,,,,,,,25,25,,,,968,,,0,0,,,0,1,,,0,1,0,0,1,1,,
yes,yes,yes,no,1,402,384,21,447,465,5,514,535,,,,26,26,26,,786,912,1049,,1,1,1,,0,0,0,,0,1,0,0,0,1,1,
yes,yes,yes,yes,4,436,500,20,503,515,18,643,596,641,620,17,35,35,35,35,936,1018,1239,1261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,4,418,473,15,469,523,5,622,593,629,612,31,39,39,39,39,891,992,1215,1241,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1
yes,yes,yes,yes,13,419,500,3,,557,11,582,587,622,639,4,55,55,55,55,919,,1169,1261,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
no,no,no,yes,,,,,,,,,,639,612,15,,,,8,,,,1251,,,,0,,,,0,1,0,0,0,,,,0
yes,yes,yes,yes,21,427,494,21,544,557,39,602,599,636,618,6,56,56,56,56,921,1101,1201,1254,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
yes,no,no,no,5,400,429,,,,,,,,,,28,,,,829,,,,0,,,,1,,,,0,1,0,1,1,,,
no,yes,yes,yes,,,,9,521,502,8,604,599,600,659,15,,63,63,63,,1023,1203,1259,,0,0,0,,1,1,1,0,1,0,1,,,0,0
yes,no,no,no,2,433,489,,,,,,,,,,76,,,,922,,,,0,,,,0,,,,1,0,0,1,0,,,
no,yes,yes,yes,,,,32,533,532,9,618,607,,,13,,12,12,12,,1065,1225,,,0,0,0,,0,0,0,1,0,0,1,,1,1,1
yes,yes,yes,yes,17,422,444,23,488,510,20,552,530,550,586,9,34,34,34,34,866,998,1082,1136,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
yes,yes,yes,no,14,,,11,651,562,12,611,,,,,36,36,36,,,1213,,,0,0,0,,1,1,1,,1,0,0,0,0,0,0,
yes,yes,yes,yes,6,410,463,3,499,529,4,544,559,622,612,19,24,24,24,24,873,1028,1103,1234,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
no,no,yes,yes,,,,,,,8,532,540,575,622,21,,,19,19,,,1072,1197,,,1,1,,,0,0,0,1,0,0,,,,1
no,yes,yes,yes,,,,9,579,484,8,533,531,577,552,15,,63,63,63,,1063,1064,1129,,0,0,0,,1,1,1,1,0,0,1,,,1,1
no,yes,yes,yes,,,,9,629,578,11,637,607,629,586,13,,3,3,3,,1207,1244,1215,,0,0,0,,1,1,1,1,0,0,1,,0,0,0
yes,no,yes,yes,first year teacher,413,463,,,,12,559,570,550,549,7,44,,44,44,876,,1129,1099,0,,1,1,1,,0,0,0,1,0,1,1,,1,1
no,no,no,yes,,,,,,,,,,,,25,,,,32,,,,,,,,0,,,,0,0,1,0,1,,,,1
yes,yes,no,no,1,448,463,18,530,526,,,,,,,76,77,,,911,1056,,,0,0,,,0,1,,,1,0,0,0,0,0,,
yes,yes,yes,yes,11,443,536,14,503,505,5,569,590,612,610,22,75,75,75,75,979,1008,1159,1222,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
no,no,no,yes,,,,,,,,,,618,586,17,,,,55,,,,1204,,,,0,,,,0,1,0,0,1,,,,0
yes,yes,yes,yes,12,453,500,4,478,542,1,573,582,595,626,24,54,54,54,54,953,1020,1155,1221,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,5,393,468,13,519,510,21,569,554,,,3,35,35,35,35,861,1029,1123,,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1
yes,no,no,no,11,411,434,,,,,,,,,,6,,,,845,,,,0,,,,1,,,,1,0,0,0,1,,,
no,no,yes,yes,,,,,,,4,557,563,595,599,13,,,20,20,,,1120,1194,,,1,1,,,0,0,0,1,0,0,,,1,1
no,no,no,yes,,,,,,,,,,,,26,,,,66,,,,,,,,0,,,,0,1,0,0,0,,,,1
yes,yes,yes,yes,11,500,528,19,540,526,2,593,563,620,612,first year teacher,31,33,33,33,1028,1066,1156,1232,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
yes,no,no,no,5,414,434,,,,,,,,,,51,,,,848,,,,0,,,,1,,,,1,0,0,1,0,,,
yes,yes,no,no,13,402,418,5,428,477,,,,,,,56,56,,,820,905,,,0,0,,,0,0,,,1,0,0,1,0,0,,
no,no,yes,no,,,,,,,11,,,,,,,,70,,,,,,,,0,,,,1,,1,0,0,1,,,1,
yes,yes,no,no,20,418,473,5,444,500,,,,,,,17,17,,,891,944,,,1,0,,,0,0,,,0,1,0,1,0,0,,
yes,yes,yes,yes,9,463,576,16,558,542,8,622,603,654,663,first year teacher,7,7,7,7,1039,1100,1225,1317,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
yes,no,no,no,8,410,444,,,,,,,,,,70,,,,854,,,,1,,,,0,,,,1,0,0,1,1,,,
yes,yes,yes,no,first year teacher,410,468,2,463,497,2,536,590,,,,44,44,44,,878,960,1126,,0,0,1,,1,1,0,,0,1,0,1,1,1,0,
no,yes,yes,no,,,,25,433,446,,488,499,,,,,27,27,,,879,987,,,0,0,,,0,1,,0,1,0,0,,1,1,
no,yes,yes,yes,,,,5,512,500,23,547,557,572,614,14,,17,17,17,,1012,1104,1186,,0,1,1,,0,0,0,0,1,0,0,,0,0,0
no,no,no,yes,,,,,,,,,,612,616,8,,,,22,,,,1228,,,,1,,,,0,0,1,0,1,,,,1
no,no,yes,no,,,,,,,15,545,517,,,,,,9,,,,1062,,,,0,,,,0,,1,0,0,0,,,1,
no,yes,no,no,,,,18,472,474,,,,,,,,75,,,,946,,,,0,,,,1,,,1,0,0,0,,1,,
yes,yes,no,no,13,402,454,17,459,472,,,,,,,48,48,,,856,931,,,0,0,,,1,0,,,1,0,0,0,1,1,,
no,no,no,yes,,,,,,,,,,,,30,,,,1,,,,,,,,0,,,,1,1,0,0,1,,,,1
no,yes,no,no,,,,13,536,535,,,,,,,,8,,,,1071,,,,0,,,,1,,,1,0,0,0,,1,,
yes,yes,yes,yes,20,476,520,5,521,505,35,608,590,629,629,9,27,27,27,27,996,1026,1198,1258,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
yes,yes,yes,yes,13,442,468,4,475,505,19,560,533,573,568,19,54,54,54,54,910,980,1093,1141,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
no,yes,yes,no,,,,3,590,592,14,618,648,,,,,54,54,,,1182,1266,,,0,0,,,0,0,,1,0,0,0,,0,0,
no,yes,yes,yes,,,,17,,562,26,,,,629,14,,70,70,70,,,,,,0,0,0,,1,1,1,1,0,0,0,,1,1,0
no,no,no,yes,,,,,,,,,,600,574,17,,,,35,,,,1174,,,,0,,,,0,0,1,0,0,,,,
yes,no,no,no,3,427,463,,,,,,,,,,78,,,,890,,,,0,,,,1,,,,0,0,1,0,0,,,
no,no,yes,yes,,,,,,,2,604,572,629,612,14,,,22,22,,,1176,1241,,,1,0,,,0,1,0,1,0,1,,,1,1
no,no,no,yes,,,,,,,,,,559,593,7,,,,72,,,,1152,,,,0,,,,1,1,0,0,0,,,,0
no,yes,yes,yes,,,,13,629,627,14,596,572,647,645,18,,69,69,69,,1256,1168,1292,,1,1,1,,0,0,0,1,0,0,0,,0,0,0
yes,no,no,no,21,405,375,,,,,,,,,,56,,,,780,,,,1,,,,0,,,,0,1,0,0,1,,,
yes,yes,no,no,3,393,399,11,450,468,,,,,,,15,15,,,792,918,,,0,0,,,1,0,,,0,1,0,0,1,1,,
yes,yes,yes,yes,13,433,500,11,465,538,14,550,535,614,620,10,55,55,55,55,933,1003,1085,1234,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
yes,yes,yes,yes,13,445,500,23,571,578,,586,587,654,700,24,24,24,24,24,945,1149,1173,1354,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0
no,no,yes,yes,,,,,,,,564,541,644,596,5,,,27,27,,,1105,1240,,,0,0,,,1,0,0,1,0,1,,,1,1
no,yes,yes,no,,,,5,485,523,9,,,,,,,29,29,,,1008,,,,0,0,,,0,0,,0,1,0,0,,1,1,
yes,yes,yes,yes,11,448,494,27,521,518,7,560,570,595,648,12,22,22,22,22,942,1039,1130,1243,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
no,no,yes,no,,,,,,,12,,,,,,,,17,,,,,,,,0,,,,1,,1,0,0,1,,,,
no,no,no,yes,,,,,,,,,,675,639,18,,,,25,,,,1314,,,,1,,,,0,1,0,0,0,,,,1
no,no,yes,no,,,,,,,2,,,,,,,,19,,,,,,,,0,,,,1,,,,,0,,,1,
yes,yes,yes,yes,8,428,500,20,492,567,11,582,593,644,642,4,49,49,49,49,928,1059,1175,1286,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
yes,no,no,no,13,411,468,,,,,,,,,,8,,,,879,,,,1,,,,0,,,,1,0,0,1,0,,,
no,yes,yes,no,,,,3,456,493,30,527,526,,,,,26,26,,,949,1053,,,0,0,,,0,0,,0,1,0,0,,1,1,
yes,yes,yes,yes,18,,,18,651,653,19,637,721,713,684,13,41,41,41,41,,1304,1358,1397,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
no,no,no,yes,,,,,,,,,,654,639,17,,,,38,,,,1293,,,,0,,,,1,1,0,0,0,,,,1
no,yes,no,no,,,,16,465,465,,,,,,,,17,,,,930,,,,1,,,,0,,,0,0,1,0,,0,,
yes,no,no,no,13,437,500,,,,,,,,,,60,,,,937,,,,0,,,,0,,,,1,0,0,0,0,,,
yes,yes,yes,yes,10,470,602,21,629,612,10,596,615,633,624,17,3,3,3,3,1072,1241,1211,1257,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,4,433,528,12,564,572,1,669,699,702,678,18,39,39,39,39,961,1136,1368,1380,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
yes,yes,yes,yes,5,461,494,10,590,572,25,643,607,680,642,2,67,67,67,67,955,1162,1250,1322,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
yes,no,no,yes,21,413,463,,,,,,,,,12,40,,,40,876,,,,0,,,0,1,,,1,1,0,0,0,1,,,1
yes,yes,yes,no,12,478,559,27,521,507,35,584,607,,,,27,27,27,,1037,1028,1191,,0,0,0,,0,0,1,,0,1,0,0,1,0,0,
no,no,yes,yes,,,,,,,18,588,620,610,642,24,,,7,7,,,1208,1252,,,0,0,,,0,0,1,0,0,1,,,0,0
yes,no,no,no,20,416,494,,,,,,,,,,17,,,,910,,,,1,,,,0,,,,1,0,0,1,0,,,
yes,yes,yes,yes,13,450,468,9,533,653,19,659,648,647,678,11,74,74,74,74,918,1186,1307,1325,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
no,yes,no,no,,,,2,,,,,,,,,,52,,,,,,,,0,,,,0,,,0,1,0,1,,1,,
yes,yes,yes,yes,18,463,528,18,524,592,15,586,615,686,691,5,41,41,41,41,991,1116,1201,1377,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
no,no,yes,yes,,,,,,,14,,,554,541,8,,,32,32,,,,1095,,,1,1,,,0,0,0,1,0,0,,,1,1
no,no,no,yes,,,,,,,,,,647,597,15,,,,56,,,,1244,,,,0,,,,1,1,0,0,0,,,,0
yes,yes,yes,yes,6,433,484,11,497,520,7,604,632,575,606,6,69,69,69,69,917,1017,1236,1181,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
no,no,yes,yes,,,,,,,11,627,590,610,648,8,,,25,25,,,1217,1258,,,1,1,,,0,0,0,1,0,0,,,1,0
yes,yes,no,no,1,410,494,15,439,468,,,,,,,19,19,,,904,907,,,0,0,,,1,0,,,0,1,0,1,1,1,,
no,no,no,yes,,,,,,,,,,562,577,18,,,,44,,,,1139,,,,0,,,,1,0,1,0,1,,,,1
no,yes,yes,yes,,,,4,485,535,16,573,607,585,629,11,,16,16,16,,1020,1180,1214,,0,0,0,,1,1,1,0,1,0,1,,1,1,1
no,yes,no,no,,,,27,514,493,,,,,,,,22,,,,1007,,,,0,,,,1,,,0,1,0,1,,1,,
no,yes,yes,no,,,,1,571,538,22,,,,,,,61,4,,,1109,,,,0,0,,,1,0,,1,0,0,1,,1,,
no,yes,yes,yes,,,,8,494,518,9,550,572,595,616,24,,65,65,65,,1012,1122,1211,,0,0,0,,0,0,0,1,0,0,1,,1,1,1
no,yes,no,no,,,,9,590,538,,,,,,,,3,,,,1128,,,,0,,,,1,,,1,0,0,0,,1,,
yes,yes,yes,yes,3,448,500,first year teacher,507,532,8,549,541,597,,11,58,58,58,58,948,1039,1090,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
no,yes,yes,yes,,,,5,495,518,33,566,561,,,7,,75,75,75,,1013,1127,,,0,0,0,,0,1,1,1,0,0,0,,1,1,1
yes,yes,yes,yes,7,448,439,1,478,481,,,,590,586,first year teacher,28,28,28,28,887,959,,1176,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
yes,no,no,no,5,439,463,,,,,,,,,,28,,,,902,,,,0,,,,1,,,,0,1,0,1,0,,,
no,no,yes,yes,,,,,,,13,,,600,604,19,,,53,53,,,,1204,,,0,0,,,0,0,1,0,0,0,,,0,0
no,no,yes,no,,,,,,,34,582,632,,,,,,62,,,,1214,,,,0,,,,1,,0,0,1,1,,,1,
yes,yes,no,no,9,,,2,471,474,,,,,,,28,28,,,,945,,,0,0,,,0,0,,,0,1,0,0,1,1,,
no,yes,no,no,,,,5,456,441,,,,,,,,17,,,,897,,,,0,,,,0,,,0,1,0,0,,1,,
yes,yes,yes,yes,8,440,459,12,499,529,23,509,530,,,21,3,3,3,3,899,1028,1039,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
no,yes,yes,yes,,,,4,553,572,1,622,593,657,663,24,,54,54,54,,1125,1215,1320,,1,1,1,,0,0,0,0,1,0,0,,1,1,1
yes,no,no,yes,8,445,468,,,,,,,608,639,10,28,,,23,913,,,1247,1,,,0,0,,,0,0,1,0,0,1,,,1
no,no,no,yes,,,,,,,,,,631,678,5,,,,29,,,,1309,,,,0,,,,0,0,1,0,1,,,,1
no,no,no,yes,,,,,,,,,,641,659,19,,,,17,,,,1300,,,,0,,,,0,0,1,0,1,,,,1
yes,yes,yes,no,10,437,547,13,,584,11,,,,,,70,70,70,,984,,,,0,0,0,,0,1,1,,1,0,0,1,0,0,1,
no,no,no,yes,,,,,,,,,,680,659,24,,,,24,,,,1339,,,,1,,,,0,0,1,0,1,,,,1
yes,yes,yes,yes,6,430,468,7,501,532,first year teacher,533,540,602,593,12,68,68,68,68,898,1033,1073,1195,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
no,yes,yes,yes,,,,2,454,458,1,518,502,,,3,,30,30,30,,912,1020,,,0,0,0,,0,0,0,0,1,0,0,,1,1,
no,yes,yes,yes,,,,7,571,532,12,582,577,593,624,19,,2,2,2,,1103,1159,1217,,0,0,0,,1,1,1,1,0,0,1,,1,1,1
yes,yes,no,no,6,405,484,15,442,481,,,,,,,39,39,,,889,923,,,1,1,,,0,0,,,1,0,0,0,1,1,,
no,yes,yes,yes,,,,33,503,523,5,542,568,565,629,26,,16,16,16,,1026,1110,1194,,0,0,0,,1,1,1,0,1,0,0,,1,1,1
no,no,no,yes,,,,,,,,,,618,,9,,,,27,,,,,,,,1,,,,0,0,1,0,0,,,,0
no,yes,yes,yes,,,,9,492,542,13,575,565,614,596,22,,8,8,8,,1034,1140,1210,,0,0,0,,0,0,0,1,0,0,0,,1,1,1
no,no,no,yes,,,,,,,,,,654,639,14,,,,51,,,,1293,,,,0,,,,1,0,1,0,0,,,,1
yes,yes,yes,yes,5,439,513,10,558,584,13,591,590,633,622,30,1,1,1,1,952,1142,1181,1255,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
no,no,yes,yes,,,,,,,3,604,599,647,616,14,,,44,44,,,1203,1263,,,0,0,,,0,0,1,0,0,0,,,1,1
no,yes,no,no,,,,16,,,,,,,,,,69,,,,,,,,0,,,,1,,,,,,,,,,
no,yes,yes,yes,,,,2,524,538,12,614,593,608,608,5,,1,1,1,,1062,1207,1216,,0,0,0,,0,0,0,1,0,0,0,,0,0,0
no,no,no,yes,,,,,,,,,,602,606,2,,,,29,,,,1208,,,,0,,,,0,0,1,0,0,,,,
yes,yes,yes,yes,13,430,500,17,544,520,28,584,582,644,610,1,48,48,48,48,930,1064,1166,1254,0,0,0,0,1,0,0,0,1,0,0,1,1,1,,1
no,no,yes,yes,,,,,,,,535,568,575,570,first year teacher,,,28,28,,,1103,1145,,,0,0,,,0,0,0,1,0,1,,,1,1
yes,no,no,no,1,400,449,,,,,,,,,,76,,,,849,,,,0,,,,0,,,,1,0,0,1,1,,,
yes,yes,yes,yes,5,416,478,6,472,510,12,554,561,550,571,14,34,34,34,34,894,982,1115,1121,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,no,first year teacher,443,520,3,450,493,4,566,570,,,,31,19,19,,963,943,1136,,0,0,0,,0,0,0,,0,1,0,1,1,1,1,
yes,no,no,no,9,405,449,,,,,,,,,,28,,,,854,,,,0,,,,0,,,,0,1,0,0,1,,,
yes,no,no,no,5,410,418,,,,,,,,,,51,,,,828,,,,0,,,,1,,,,0,1,0,0,0,,,
no,no,yes,yes,,,,,,,27,575,528,631,599,23,,,52,52,,,1103,1230,,,1,1,,,0,0,0,1,0,0,,,0,0
no,yes,no,no,,,,7,536,518,,,,,,,,53,,,,1054,,,,0,,,,1,,,0,1,0,1,,1,,
no,no,yes,yes,,,,,,,18,,,573,599,17,,,35,35,,,,1172,,,0,0,,,0,0,1,0,0,0,,,0,1
yes,yes,no,no,6,,,12,421,436,,,,,,,50,50,,,,857,,,1,1,,,0,0,,,1,0,0,0,1,1,,
no,yes,yes,yes,,,,21,512,502,2,573,572,633,631,23,,14,14,16,,1014,1145,1264,,0,0,0,,0,0,1,0,1,0,0,,1,1,1
yes,yes,yes,yes,13,436,484,3,472,510,11,575,559,588,608,4,55,55,55,55,920,982,1134,1196,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
yes,no,no,yes,2,437,513,,,,,,,650,672,8,73,,,73,950,,,1322,1,,,1,0,,,0,1,0,0,0,1,,,1
yes,no,no,no,2,400,405,,,,,,,,,,28,,,,805,,,,1,,,,0,,,,0,1,0,0,1,,,
yes,yes,yes,yes,11,402,454,4,487,479,18,499,517,,,6,64,64,64,64,856,966,1016,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,
no,yes,yes,yes,,,,19,516,523,19,536,563,572,558,22,,64,64,64,,1039,1099,1130,,0,0,0,,0,0,0,0,1,0,0,,1,1,1
yes,yes,yes,yes,19,433,494,7,651,567,11,618,596,633,642,31,64,64,64,64,927,1218,1214,1275,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
yes,no,no,no,12,424,520,,,,,,,,,,51,,,,944,,,,0,,,,1,,,,1,0,0,0,0,,,
no,no,no,yes,,,,,,,,,,647,667,26,,,,23,,,,1314,,,,0,,,,0,0,1,0,0,,,,0
yes,yes,yes,yes,12,408,439,32,475,523,7,523,554,595,582,9,20,20,20,20,847,998,1077,1177,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1
no,no,yes,yes,,,,,,,8,538,535,583,593,21,,,19,19,,,1073,1176,,,1,1,,,0,0,0,1,0,1,,,1,1
yes,no,no,no,8,416,489,,,,,,,,,,78,,,,905,,,,0,,,,0,,,,1,0,0,1,1,,,
yes,yes,yes,yes,12,422,494,21,540,529,14,611,563,629,626,9,79,79,79,79,916,1069,1174,1255,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
no,no,yes,yes,,,,,,,12,536,554,573,608,19,,,2,2,,,1090,1181,,,0,0,,,1,1,0,1,0,0,,,1,1
yes,no,no,no,1,424,528,,,,,,,,,,19,,,,952,,,,0,,,,1,,,,0,1,0,0,1,,,
no,yes,yes,yes,,,,36,480,472,31,530,572,587,568,18,,33,33,33,,952,1102,1155,,0,0,0,,1,1,1,0,1,0,1,,0,0,0
no,no,yes,no,,,,,,,1,575,603,,,,,,45,,,,1178,,,,0,,,,0,,0,1,0,1,,,1,
yes,no,no,no,2,,,,,,,,,,,,25,,,,,,,,0,,,,1,,,,1,0,0,1,0,,,
no,no,no,yes,,,,,,,,,,612,596,28,,,,20,,,,1208,,,,0,,,,1,0,1,0,0,,,,0
yes,yes,yes,yes,8,580,500,9,629,529,12,684,603,686,663,21,5,5,5,5,1080,1158,1287,1349,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,
yes,yes,no,no,8,397,429,14,,,,,,,,,72,72,,,826,,,,0,0,,,0,1,,,1,0,0,1,1,1,,
yes,yes,yes,no,6,460,576,12,604,612,14,599,674,,,,72,72,72,,1036,1216,1273,,1,1,1,,0,0,0,,1,0,0,1,0,0,0,
yes,yes,no,no,13,398,463,2,472,510,,,,,,,55,55,,,861,982,,,0,1,,,0,0,,,1,0,0,0,1,1,,
yes,yes,yes,no,8,416,463,4,505,488,16,579,561,,,,16,16,16,,879,993,1140,,0,0,0,,0,1,1,,0,1,0,1,1,1,1,
yes,no,no,no,13,487,489,,,,,,,,,,51,,,,976,,,,0,,,,0,,,,1,0,0,1,0,,,
no,yes,no,no,,,,11,,,,,,,,,,57,,,,,,,,0,,,,0,,,1,0,0,0,,0,,
no,yes,yes,yes,,,,8,527,500,16,571,563,588,561,6,,3,3,3,,1027,1134,1149,,1,1,1,,0,0,0,1,0,0,0,,0,0,0
no,yes,yes,yes,,,,11,438,484,15,518,500,,,8,,78,78,78,,922,1018,,,0,0,0,,1,1,1,1,0,0,1,,0,1,1
yes,yes,no,no,5,419,434,22,516,486,,,,,,,37,37,,,853,1002,,,0,0,,,0,1,,,1,0,0,0,0,1,,
yes,yes,no,no,11,447,500,1,501,526,,,,,,,37,37,,,947,1027,,,0,0,,,1,0,,,1,0,0,0,0,0,,
yes,yes,yes,yes,5,424,459,6,495,512,4,575,570,,,12,28,28,28,28,883,1007,1145,,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1
no,no,yes,yes,,,,,,,12,560,540,572,567,18,,,17,17,,,1100,1139,,,0,0,,,1,1,1,0,0,0,,,0,0
no,no,yes,yes,,,,,,,28,,,580,585,36,,,40,40,,,,1165,,,1,1,,,0,0,1,0,0,0,,,1,1
yes,yes,yes,yes,10,,,8,553,535,20,596,590,614,629,20,63,63,63,63,,1088,1186,1243,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
no,yes,yes,yes,,,,7,516,505,6,586,563,599,601,5,,33,33,33,,1021,1149,1200,,0,0,0,,1,1,1,0,1,0,1,,1,1,1
no,yes,yes,yes,,,,4,,510,22,533,,545,561,14,,71,71,71,,,,1106,,0,0,0,,0,0,0,1,0,0,1,,0,,1
yes,yes,yes,yes,6,414,484,7,540,515,12,599,603,636,626,19,2,2,2,2,898,1055,1202,1262,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
yes,yes,yes,yes,14,465,520,5,564,562,9,575,596,608,622,13,59,59,59,59,985,1126,1171,1230,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,no,no,no,11,418,484,,,,,,,,,,60,,,,902,,,,1,,,,0,,,,1,0,0,0,1,,,
no,yes,yes,yes,,,,1,468,545,32,552,522,565,603,17,,64,64,64,,1013,1074,1168,,1,1,1,,0,0,0,1,0,0,1,,0,0,0
yes,yes,yes,yes,11,440,468,5,530,526,9,596,563,624,597,13,59,59,59,59,908,1056,1159,1221,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
no,no,yes,yes,,,,,,,14,577,568,618,616,36,,,10,10,,,1145,1234,,,1,1,,,0,0,1,0,0,1,,,1,1
yes,yes,yes,yes,15,434,459,3,472,507,30,541,541,604,624,22,26,26,26,26,893,979,1082,1228,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
yes,yes,yes,yes,15,433,528,2,524,545,19,545,593,599,636,first year teacher,47,47,47,47,961,1069,1138,1235,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
yes,yes,yes,yes,8,467,576,18,604,653,15,622,699,631,691,5,41,41,41,41,1043,1257,1321,1322,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,7,430,459,4,533,490,19,588,550,578,588,19,54,54,54,54,889,1023,1138,1166,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
no,no,yes,no,,,,,,,1,,,,,,,,66,,,,,,,,1,,,,0,,1,0,0,1,,,1,
yes,yes,no,no,11,418,468,14,540,549,,,,,,,75,75,,,886,1089,,,0,1,,,1,0,,,1,0,0,1,0,0,,
yes,yes,yes,no,11,418,489,2,487,526,15,552,596,,,,51,51,51,,907,1013,1148,,0,0,0,,0,1,1,,1,0,0,1,0,0,0,
no,no,yes,no,,,,,,,,,,,,,,,24,,,,,,,,1,,,,0,,,,,0,,,1,
yes,yes,yes,yes,9,411,459,36,516,505,first year teacher,575,561,602,606,1,53,53,53,53,870,1021,1136,1208,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
yes,yes,yes,yes,3,,,4,505,502,14,560,593,562,586,23,32,32,32,32,,1007,1153,1148,0,0,0,0,0,0,1,1,0,1,0,0,,1,1,1
no,yes,no,no,,,,2,,,,,,,,,,52,,,,,,,,0,,,,0,,,1,0,0,0,,0,,
yes,no,no,no,6,408,429,,,,,,,,,,19,,,,837,,,,0,,,,0,,,,0,1,0,1,1,,,
no,no,yes,no,,,,,,,27,582,565,,,,,,52,,,,1147,,,,1,,,,0,,1,0,0,0,,,0,
no,no,yes,yes,,,,,,,12,602,570,614,601,19,,,2,2,,,1172,1215,,,0,0,,,1,1,0,1,0,0,,,0,0
no,yes,no,no,,,,31,475,512,,,,,,,,11,,,,987,,,,1,,,,0,,,0,1,0,0,,1,,
no,no,no,yes,,,,,,,,,,622,612,19,,,,8,,,,1234,,,,1,,,,0,1,0,0,0,,,,1
no,no,yes,no,,,,,,,15,588,548,,,,,,63,,,,1136,,,,0,,,,0,,1,0,0,0,,,1,
